[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.5
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
epoch  440 | train_nll -1.31577 | train_fsce 0.52590 | val_dev 0.72463 | expl_dev 0.51002 | gat_gain +0.04267 | alpha 0.5000
epoch  445 | train_nll -1.31782 | train_fsce 0.51381 | val_dev 0.73835 | expl_dev 0.50074 | gat_gain +0.02101 | alpha 0.5000
epoch  450 | train_nll -1.31536 | train_fsce 0.51959 | val_dev 0.73283 | expl_dev 0.50447 | gat_gain +0.03856 | alpha 0.5000
epoch  455 | train_nll -1.31252 | train_fsce 0.53886 | val_dev 0.72150 | expl_dev 0.51214 | gat_gain +0.04738 | alpha 0.5000
epoch  460 | train_nll -1.31477 | train_fsce 0.52672 | val_dev 0.73689 | expl_dev 0.50173 | gat_gain +0.05562 | alpha 0.5000
epoch  465 | train_nll -1.31687 | train_fsce 0.53935 | val_dev 0.73722 | expl_dev 0.50151 | gat_gain +0.03801 | alpha 0.5000
epoch  470 | train_nll -1.31812 | train_fsce 0.53952 | val_dev 0.75430 | expl_dev 0.48995 | gat_gain +0.02736 | alpha 0.5000
epoch  475 | train_nll -1.32052 | train_fsce 0.53125 | val_dev 0.74639 | expl_dev 0.49531 | gat_gain +0.02658 | alpha 0.5000
epoch  480 | train_nll -1.31182 | train_fsce 0.53694 | val_dev 0.75057 | expl_dev 0.49248 | gat_gain +0.03358 | alpha 0.5000
epoch  485 | train_nll -1.32133 | train_fsce 0.52612 | val_dev 0.73613 | expl_dev 0.50225 | gat_gain +0.05111 | alpha 0.5000
epoch  490 | train_nll -1.30964 | train_fsce 0.53696 | val_dev 0.75266 | expl_dev 0.49107 | gat_gain +0.03277 | alpha 0.5000
epoch  495 | train_nll -1.31622 | train_fsce 0.52844 | val_dev 0.74656 | expl_dev 0.49519 | gat_gain +0.03437 | alpha 0.5000
epoch  500 | train_nll -1.31809 | train_fsce 0.52475 | val_dev 0.74580 | expl_dev 0.49571 | gat_gain +0.03359 | alpha 0.5000
epoch  505 | train_nll -1.31866 | train_fsce 0.51697 | val_dev 0.73781 | expl_dev 0.50111 | gat_gain +0.04335 | alpha 0.5000
epoch  510 | train_nll -1.31805 | train_fsce 0.54117 | val_dev 0.72983 | expl_dev 0.50651 | gat_gain +0.04161 | alpha 0.5000
epoch  515 | train_nll -1.32372 | train_fsce 0.51929 | val_dev 0.72838 | expl_dev 0.50749 | gat_gain +0.02106 | alpha 0.5000
epoch  520 | train_nll -1.32585 | train_fsce 0.53726 | val_dev 0.72908 | expl_dev 0.50701 | gat_gain +0.02357 | alpha 0.5000
epoch  525 | train_nll -1.31931 | train_fsce 0.51157 | val_dev 0.72777 | expl_dev 0.50790 | gat_gain +0.03762 | alpha 0.5000
epoch  530 | train_nll -1.32697 | train_fsce 0.54786 | val_dev 0.71174 | expl_dev 0.51874 | gat_gain +0.03317 | alpha 0.5000 *
epoch  535 | train_nll -1.32446 | train_fsce 0.51652 | val_dev 0.71637 | expl_dev 0.51561 | gat_gain +0.03672 | alpha 0.5000
epoch  540 | train_nll -1.32322 | train_fsce 0.52724 | val_dev 0.70971 | expl_dev 0.52011 | gat_gain +0.03846 | alpha 0.5000 *
epoch  545 | train_nll -1.32381 | train_fsce 0.54637 | val_dev 0.71704 | expl_dev 0.51515 | gat_gain +0.02544 | alpha 0.5000
epoch  550 | train_nll -1.32725 | train_fsce 0.52417 | val_dev 0.71116 | expl_dev 0.51913 | gat_gain +0.03264 | alpha 0.5000
epoch  555 | train_nll -1.32526 | train_fsce 0.51816 | val_dev 0.70780 | expl_dev 0.52140 | gat_gain +0.03412 | alpha 0.5000 *
epoch  560 | train_nll -1.32707 | train_fsce 0.53988 | val_dev 0.69225 | expl_dev 0.53191 | gat_gain +0.03360 | alpha 0.5000 *
epoch  565 | train_nll -1.32987 | train_fsce 0.53604 | val_dev 0.75073 | expl_dev 0.49237 | gat_gain +0.04624 | alpha 0.5000
epoch  570 | train_nll -1.32864 | train_fsce 0.51638 | val_dev 0.73561 | expl_dev 0.50259 | gat_gain +0.02918 | alpha 0.5000
epoch  575 | train_nll -1.32128 | train_fsce 0.50720 | val_dev 0.71238 | expl_dev 0.51831 | gat_gain +0.03629 | alpha 0.5000
epoch  580 | train_nll -1.31966 | train_fsce 0.53484 | val_dev 0.73378 | expl_dev 0.50383 | gat_gain +0.02807 | alpha 0.5000
epoch  585 | train_nll -1.32026 | train_fsce 0.53871 | val_dev 0.71310 | expl_dev 0.51782 | gat_gain +0.04378 | alpha 0.5000
epoch  590 | train_nll -1.32760 | train_fsce 0.53648 | val_dev 0.71884 | expl_dev 0.51394 | gat_gain +0.03966 | alpha 0.5000
epoch  595 | train_nll -1.32903 | train_fsce 0.55665 | val_dev 0.70230 | expl_dev 0.52512 | gat_gain +0.03827 | alpha 0.5000
epoch  600 | train_nll -1.32788 | train_fsce 0.54059 | val_dev 0.70182 | expl_dev 0.52544 | gat_gain +0.02780 | alpha 0.5000
epoch  605 | train_nll -1.33576 | train_fsce 0.53024 | val_dev 0.73578 | expl_dev 0.50248 | gat_gain +0.03254 | alpha 0.5000
epoch  610 | train_nll -1.33214 | train_fsce 0.50987 | val_dev 0.72940 | expl_dev 0.50679 | gat_gain +0.03322 | alpha 0.5000
epoch  615 | train_nll -1.34228 | train_fsce 0.55009 | val_dev 0.68900 | expl_dev 0.53411 | gat_gain +0.04000 | alpha 0.5000 *
epoch  620 | train_nll -1.32505 | train_fsce 0.50171 | val_dev 0.72557 | expl_dev 0.50939 | gat_gain +0.03782 | alpha 0.5000
epoch  625 | train_nll -1.32414 | train_fsce 0.53181 | val_dev 0.70690 | expl_dev 0.52201 | gat_gain +0.03374 | alpha 0.5000
epoch  630 | train_nll -1.33180 | train_fsce 0.52774 | val_dev 0.69336 | expl_dev 0.53116 | gat_gain +0.03230 | alpha 0.5000
epoch  635 | train_nll -1.33088 | train_fsce 0.52442 | val_dev 0.69922 | expl_dev 0.52720 | gat_gain +0.04108 | alpha 0.5000
